idemp,nome,status,ano,setor,endiv1,tang1,risco,lntam,z1,mb,roa,lucrat2,higrow
300,Cia Ferro Ligas Bahia Ferbasa,ativo,2007,Siderur & Metalur,0,0.358653882,0.104500063,19.91769324,,0.84095114,0.091907982,0.132741164,0
336,Amazonia Celular S.A.,ativo,2007,Telecomunicações,0.494666947,0.462352946,0.081889652,20.00317491,1.694831744,0.580744807,0.070092909,0.073596489,0
424,Santos-Brasil S/A,cancelado,2007,Transporte Serviç,0.044307966,0.391879952,0.09285632,20.00643029,14.0014276,2.475794728,0.071309844,0.189424426,1
33,Josapar- Joaquim Oliveira S/A Particip,ativo,2007,Alimentos e Beb,0.2462175,0.177417049,0.006424818,20.11182398,4.016809164,1.104799393,0.123302467,0.085847304,0
282,Unipar- Uniao de Inds. Petroquimicas S/A,ativo,2007,Química,0.355837295,0.027593071,0.021558736,20.11804711,1.590217083,1.130569255,-0.010387964,-0.043800313,0
150,Cia Est Geracao e Trans de En El Ceee-Gt,ativo,2007,Energia Elétrica,0.155172696,0.609006639,0.041507378,20.12810344,3.706306013,1.671564057,0.079401262,0.257960045,1
392,Guararapes Confeccoes S.A.,ativo,2007,Textil,3.48033E-05,0.078573169,0.027294362,20.14423275,17240.33347,2.514512502,0.120360084,0.32883984,1
429,Tegma Gestao Logistica S.A.,ativo,2007,Transporte Serviç,0.017511686,0.10253375,,20.16397974,36.17017045,3.342280908,0.156745064,0.128797779,1
54,SA Fabrica Prods Alimcs Vigor,cancelado,2007,Alimentos e Beb,0.399634302,0.320688035,0.016439735,20.21908476,2.140499298,1.223008813,0.081475364,0.082978477,0
200,Industrias Romi S.A.,ativo,2007,Máquinas Indust,0.262417389,0.109625694,0.049260491,20.25532568,2.893418614,1.723997613,0.074345513,0.162734256,1
181,"Duke Energy Int, Geracao Paranapanema SA",ativo,2007,Energia Elétrica,0.220278691,0.890522216,0.00602946,20.26793484,2.603743703,1.393097017,0.078913541,0.412051943,0
248,Bombril SA,ativo,2007,Química,0.031518776,0.046058578,1.036265606,20.28569222,19.82937527,1.104395016,0.107095577,0.122422363,0
97,Gafisa S/A,ativo,2007,Construção,0.110311723,0.004025391,0.01597034,20.33619796,5.652540564,1.737380363,0.019025358,0.077878491,1
163,Cia Energetica do Rio Grande do Norte,ativo,2007,Energia Elétrica,0.224236633,0.293294426,0.044906354,20.43534107,3.512991038,1.441718721,0.198777005,0.345043731,1
61,Dimed SA Distribuidora de Medicamentos,ativo,2007,Comércio,0.007782694,0.078363137,0.03817708,20.53386045,80.56983632,1.188491541,0.085386398,0.026094597,0
62,Drogasil SA,ativo,2007,Comércio,0.060451069,0.139586439,0.022155047,20.54062703,11.62512007,1.689352062,0.041139319,0.028022889,1
239,Refinaria Pet Ipiranga SA,cancelado,2007,Petróleo e Gas,0.027626496,0.036625312,0.059689435,20.54577181,22.33351852,1.530880186,0.008706506,0.009754397,1
212,Magnesita S.A.,cancelado,2007,Mineração,0.040494678,0.274330993,0.01341191,20.57442818,15.70400109,2.014939141,0.089393295,0.121311255,1
255,Elekeiroz S/A,ativo,2007,Química,0.106307385,0.335307279,0.058896203,20.58471731,7.359824582,1.316528029,0.157992491,0.114119692,0
156,Companhia Energetica do Maranhao - Cemar,ativo,2007,Energia Elétrica,0.241929309,0.46251655,0.062648489,20.59426588,3.092199874,1.720220972,0.170355197,0.365226958,1
421,Localiza Rent a Car S.A.,ativo,2007,Transporte Serviç,0.194880381,0.549143033,,20.81049252,3.40867169,2.782788749,0.10646824,0.165940517,1
261,Fertilizantes Fosfatados S.A. -Fosfertil,ativo,2007,Química,0.004870406,0.232452366,0.068404393,20.81452327,124.1220415,4.157398711,0.157042191,0.293356494,1
131,Itautec S.A-Grupo Itautec,ativo,2007,Eletroeletrônicos,0.230519145,0.130881146,0.030148798,20.83417911,4.078097234,0.938540404,0.075817502,0.063823617,0
157,Centrais Eletricas Matogrossenses S.A.,ativo,2007,Energia Elétrica,0.35142716,0.493341167,0.027668655,20.84457952,1.926981341,0.626749929,0.103298841,0.255262498,0
154,Centrais Eletricas do Para S.A. - Celpa,ativo,2007,Energia Elétrica,0.353027838,0.530426492,0.015651514,20.84503293,1.658260869,0.4711925,0.053493889,0.163377132,0
453,Randon S/A Implementos e Participacoes,ativo,2007,Veiculos e peças,0.09285014,0.205282188,0.060401321,20.84630968,7.612773459,2.630081951,0.091288977,0.090460628,1
37,m Dias Branco S.A. Ind e Com de Alimentos,ativo,2007,Alimentos e Beb,0.153950309,0.37531523,0.018746178,20.87573367,4.441181139,2.084960926,0.065989648,0.090945776,1
391,Grendene S/A,ativo,2007,Textil,0.078051982,0.104352929,0.020060263,20.89400811,9.301754641,1.601979321,0.128191948,0.157466163,1
375,Sao Paulo Alpargatas SA,ativo,2007,Textil,0.04563539,0.148196331,0.048283246,20.95311168,14.19419947,2.026937785,0.082729789,0.088738452,1
192,Cteep-Cia Transm Energia Eletr. Paulista,ativo,2007,Energia Elétrica,0.087342892,0.78746385,0.064693222,20.99741728,7.332851039,1.177830195,0.18459387,0.726931597,0
235,Cia. Distrib. de Gas do Rio de Janeiro,ativo,2007,Petróleo e Gas,0.397321058,0.596578391,0.012412702,21.01021914,2.121803973,1.123979275,0.162250266,0.20086508,0
149,Cia Est de Dist de Energia Eletr Ceee-D,ativo,2007,Energia Elétrica,0.059127331,0.480488573,,21.03165013,10.18274564,1.729857637,0.00114141,0.001494243,1
364,Telemig Celular S.A.,ativo,2007,Telecomunicações,0.05136165,0.383280829,0.025871681,21.0434635,12.54697027,1.511452255,0.129088494,0.178587193,1
267,Petroflex Industria e Comercio S.A.,cancelado,2007,Química,0.364973299,0.505186905,0.056642153,21.05277244,2.991401728,0.906763499,0.115681142,0.085951627,0
